Relocatable heap version 4 found at 0x2f000000
total space allocated is 236M, with 234M relocatable, 2.3M legacy and 0 offline
1 legacy blocks of size 2359296

free list at 0x3d97d260
183M free memory in 6 free block(s)
largest free block is 183M bytes

0x2f000000: legacy block 2.3M
0x2f240000: free 183M
[ 300] 0x3b7ef620: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b7ef640, d3ruAl) 'RIL buffer'
[ 299] 0x3b7f7660: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b7f7680, d3ruAl) 'RIL buffer'
[ 293] 0x3b7ff6a0: used 506K (refcount 1 lock count 1, size   517392, align  256, data 0x3b7ff700, d3Rual) 'CABAC output'
[ 275] 0x3b87dce0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b87dd00, d1ruAl) 'RIL buffer'
[ 274] 0x3b88dd20: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b88dd40, d0rual) 'pcmdec_out'
[ 292] 0x3b89dd60: used 497K (refcount 1 lock count 1, size   509200, align    4, data 0x3b89dd80, d1Rual) 'H264 dm_storage'
[ 290] 0x3b91a2c0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b91a2e0, d1ruAl) 'RIL buffer'
[ 289] 0x3b92a300: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b92a320, d1ruAl) 'RIL buffer'
[ 288] 0x3b93a340: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b93a360, d1ruAl) 'RIL buffer'
[ 287] 0x3b94a380: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b94a3a0, d1ruAl) 'RIL buffer'
[ 286] 0x3b95a3c0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b95a3e0, d1ruAl) 'RIL buffer'
[ 285] 0x3b96a400: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b96a420, d1ruAl) 'RIL buffer'
[ 284] 0x3b97a440: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b97a460, d1ruAl) 'RIL buffer'
[  60] 0x3b98a480: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b98a4a0, d1ruAl) 'RIL buffer'
[ 283] 0x3b99a4c0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b99a4e0, d1ruAl) 'RIL buffer'
[   4] 0x3b9aa500: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b9aa520, d1ruAl) 'RIL buffer'
[ 282] 0x3b9ba540: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b9ba560, d1ruAl) 'RIL buffer'
[ 280] 0x3b9ca580: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b9ca5a0, d1ruAl) 'RIL buffer'
[ 279] 0x3b9da5c0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b9da5e0, d1ruAl) 'RIL buffer'
[ 278] 0x3b9ea600: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b9ea620, d1ruAl) 'RIL buffer'
